bench_a,bench_b,backend,util,score
circuit-47,circuit-46,fake_kolkata,0.9777777777777777,0.6201840894148587
circuit-47,circuit-51,fake_kolkata,0.7037037037037037,0.5581374643874644
circuit-47,circuit-50,fake_kolkata,0.8364197530864197,0.5879510921177588
circuit-47,circuit-55,fake_kolkata,0.691358024691358,0.5766856600189934
circuit-47,circuit-54,fake_kolkata,0.8209876543209876,0.6031759076630872
circuit-46,circuit-51,fake_kolkata,0.8296296296296296,0.5896189458689459
circuit-46,circuit-50,fake_kolkata,0.8765432098765432,0.5979819563152897
circuit-46,circuit-55,fake_kolkata,0.8197530864197531,0.6087844254510921
circuit-46,circuit-54,fake_kolkata,0.8641975308641975,0.6139783767988897
circuit-51,circuit-50,fake_kolkata,0.9831649831649831,0.7489162457912457
circuit-51,circuit-55,fake_kolkata,0.8559670781893003,0.588991769547325
circuit-51,circuit-54,fake_kolkata,1.0074074074074075,0.6220441595441596
circuit-50,circuit-55,fake_kolkata,0.9562289562289562,0.609057239057239
circuit-50,circuit-54,fake_kolkata,1.0774410774410774,0.6347448847448848
circuit-55,circuit-54,fake_kolkata,0.9777777777777777,0.6867521367521368
